,count,Primary Completion Date
0,34,December 2021
1,29,December 2017
2,24,December 2022
3,24,December 2015
4,23,June 2022
5,23,"December 31, 2021"
6,22,December 2016
7,20,December 2020
8,16,December 2018
9,15,December 2014
10,13,December 2013
11,12,December 2019
12,12,"December 31, 2019"
13,11,December 2025
14,11,June 2017
15,11,September 2014
16,11,January 2022
17,11,"December 31, 2020"
18,11,October 2022
19,10,January 2016
20,9,March 2017
21,9,September 2021
22,9,"December 31, 2022"
23,9,"June 30, 2020"
24,9,"September 30, 2021"
25,9,July 2017
26,9,January 2026
27,9,September 2016
28,8,April 2017
29,8,January 2014
30,8,September 2022
31,8,"March 31, 2022"
32,8,"June 30, 2023"
33,7,October 2021
34,7,April 2022
35,7,October 2014
36,7,October 2013
37,7,March 2020
38,7,March 2013
39,7,March 2014
40,7,December 2012
41,7,February 2017
42,7,June 2012
43,7,October 2017
44,7,"June 30, 2022"
45,7,March 2023
46,7,August 2022
47,7,December 2010
48,6,"June 30, 2021"
49,6,"August 1, 2021"
50,6,September 2013
51,6,"April 30, 2021"
52,6,November 2011
53,6,September 2023
54,6,May 2013
55,6,January 2023
56,6,December 2023
57,6,March 2016
58,6,"January 31, 2022"
59,6,July 2018
60,6,July 2022
61,6,June 2013
62,6,July 2013
63,6,"May 31, 2022"
64,6,June 2014
65,6,"December 1, 2019"
66,6,August 2015
67,6,"September 30, 2022"
68,6,"December 31, 2023"
69,6,November 2016
70,6,November 2025
71,6,May 2017
72,6,May 2016
73,5,September 2017
74,5,"July 1, 2020"
75,5,March 2022
76,5,November 2015
77,5,"February 1, 2022"
78,5,March 2015
79,5,"October 1, 2023"
80,5,February 2014
81,5,August 2020
82,5,September 2025
83,5,"December 30, 2019"
84,5,"December 30, 2020"
85,5,October 2016
86,5,June 2019
87,5,June 2016
88,5,July 2015
89,5,November 2022
90,5,September 2011
91,5,June 2015
92,5,"July 31, 2022"
93,5,September 2018
94,5,"March 31, 2021"
95,5,"June 1, 2021"
96,5,"December 1, 2022"
97,5,"December 30, 2021"
98,5,April 2016
99,5,February 2010
100,5,June 2021
101,5,February 2022
102,5,July 2014
103,4,July 2016
104,4,June 2020
105,4,July 2012
106,4,"June 1, 2023"
107,4,August 2023
108,4,April 2018
109,4,"December 1, 2021"
110,4,January 2013
111,4,November 2021
112,4,December 2009
113,4,May 2010
114,4,November 2014
115,4,"October 31, 2021"
116,4,March 2018
117,4,"July 1, 2022"
118,4,"April 30, 2023"
119,4,November 2018
120,4,July 2010
121,4,August 2021
122,4,"December 30, 2018"
123,4,"September 1, 2021"
124,4,May 2022
125,4,September 2020
126,4,"November 30, 2021"
127,4,August 2011
128,4,October 2015
129,4,January 2017
130,4,"June 1, 2022"
131,4,June 2011
132,4,January 2019
133,3,"June 1, 2020"
134,3,"August 1, 2020"
135,3,"September 30, 2018"
136,3,"October 1, 2022"
137,3,"September 30, 2020"
138,3,April 2013
139,3,September 2010
140,3,"August 1, 2019"
141,3,"June 1, 2024"
142,3,February 2016
143,3,January 2021
144,3,May 2014
145,3,"December 1, 2020"
146,3,April 2014
147,3,November 2012
148,3,May 2015
149,3,October 2020
150,3,September 2019
151,3,"February 28, 2022"
152,3,November 2017
153,3,"July 31, 2020"
154,3,August 2019
155,3,October 2018
156,3,"July 1, 2023"
157,3,"March 1, 2020"
158,3,"January 30, 2021"
159,3,"October 31, 2020"
160,3,April 2015
161,3,March 2010
162,3,"January 27, 2021"
163,3,"December 31, 2024"
164,3,"April 1, 2023"
165,3,"August 30, 2020"
166,3,"September 1, 2022"
167,3,April 2011
168,3,August 2012
169,3,"August 1, 2022"
170,3,"November 30, 2022"
171,3,"July 30, 2021"
172,3,December 2026
173,3,"January 1, 2021"
174,3,June 2018
175,3,September 2012
176,3,March 2024
177,3,November 2023
178,3,December 2011
179,3,"November 1, 2021"
180,3,November 2013
181,3,October 2025
182,3,November 2019
183,3,"November 30, 2019"
184,2,October 2023
185,2,March 2019
186,2,"December 15, 2020"
187,2,"August 30, 2022"
188,2,"June 13, 2019"
189,2,September 2028
190,2,May 2008
191,2,August 2017
192,2,"July 31, 2021"
