,count,Title
0,2,A Study of Allogeneic Human UC-MSC and Liberation Therapy (When Associated With CCSVI) in Patients With RRMS
1,2,"Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells to Treat Post COVID-19 ""Long Haul"" Pulmonary Compromise"
2,2,MEsenchymal StEm Cells for Multiple Sclerosis
3,1,"Autologous Bone Marrow Aspirate Concentrate Injection for the Treatment of Early Osteoarthritis: a Randomized Controlled Trial, Baghdad 2022"
4,1,Mesenchymal Stem Cell Therapy for Bronchopulmonary Dysplasia in Preterm Babies
5,1,Derivation of Human Induced Pluripotent Stem (iPS) Cells to Heritable Cardiac Arrhythmias
6,1,Malignant Pleural Disease Treated With Autologous T Cells Genetically Engineered to Target the Cancer-Cell Surface Antigen Mesothelin
7,1,Sperm Production in Kleinfelter Syndrome Patients After Mesenchymal Stem Cell Injection
8,1,Individualized Early Risk Assessment for Heart Diseases
9,1,Cellular Immunotherapy for Septic Shock: A Phase I Trial
10,1,A Study of Combination Therapies With Viagenpumatucel-L (HS-110) in Patients With Non-Small Cell Lung Cancer
11,1,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Ischemic Cardiomyopathy
12,1,Lumbar Degenerative Disc Disease Treatment With Bone Marrow Autologous Mesenchymal Stem Cells (MSV)
13,1,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Active Ulcerative Colitis
14,1,Linagliptin and Mesenchymal Stem Cells: A Pilot Study
15,1,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Paraquat Poisoning Induced Lung Injury
16,1,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Acute Lung Injury
17,1,Phase I Dose Escalation Study of AB-16B5 in Subjects With an Advanced Solid Malignancy
18,1,Umbilical Cord Mesenchymal Stem Cell Treatment for Crohn's Disease
19,1,Autologous Bone Marrow Stem Cell Transplantation for Osteonecrosis in Sickle Cell Disease
20,1,Autologous BM-MSC Transplantation in Combination With Platelet Lysate (PL) for Nonunion Treatment
21,1,Autologous Alveolar Bone Marrow Mesenchymal Stem Cells for the Reconstruction of Infrabony Periodontal Defects
22,1,Latent Structure of Multi-level Assessments and Predictors of Outcomes in Psychiatric Disorders
23,1,Anti-CD19 Chimeric Antigen Receptor (CAR)-Transduced T Cell Therapy for Patients With B Cell Malignancies
24,1,Bone Marrow-derived Mesenchymal Stem Cells (MSC) Administration in Weaning From Left Ventricular Assist Device
25,1,Administration of Mesenchymal Stem Cells in Patients With Chronic Ischemic Cardiomyopathy (MESAMI2)
26,1,Production of iPSC Derived RPE Cells for Transplantation in AMD
27,1,A Study to Assess the Effect of Intravenous Dose of (aMBMC) to Subjects With Non-ischemic Heart Failure
28,1,Placebo-controlled Study to Evaluate Rexlemestrocel-L Alone or Combined With Hyaluronic Acid in Participants With Chronic Low Back Pain
