,count,Zipcode
0,39,55905
1,21,33136
2,21,20892
3,20,77030
4,15,210008
5,14,77478
6,14,510515
7,13,100039
8,12,11942
9,12,510630
10,11,35294
11,10,350025
12,9,100853
13,9,91010
14,9,44195
15,8,220072
16,8,32224
17,8,30322
18,8,100071
19,7,28046
20,7,135-710
21,7,2100
22,7,55455
23,7,10430
24,7,4000
25,7,38105
26,6,34295
27,6,37007
28,6,2333 ZA
29,6,56000
30,6,200025
31,6,60612
32,6,90033
33,5,27710
34,5,27705
35,5,20010
36,5,90095
37,5,510000
38,5,20089
39,5,10065
40,5,710032
41,5,266003
42,5,91120
43,5,08022
44,5,200120
45,5,010065
46,5,08916
47,5,510080
48,4,500
49,4,80045
50,4,1000
51,4,94305
52,4,24127
53,4,44106
54,4,510010
55,4,100730
56,4,95817
57,4,404
58,4,250033
59,4,518000
60,4,264000
61,4,46000
62,4,400038
63,4,90048
64,4,85054
65,4,28222
66,4,23561
67,4,98109
68,4,528000
69,3,33076
70,3,47012
71,3,03080
72,3,77027
73,3,08036
74,3,100048
75,3,85297
76,3,135-720
77,3,02115
78,3,92868
79,3,510282
80,3,100000
81,3,050031
82,3,11953
83,3,07052
84,3,430000
85,3,200092
86,3,14004
87,3,40202
88,3,10019
89,3,410008
90,3,01307
91,3,54600
92,3,160012
93,3,02114
94,3,75010
95,3,0635
96,3,35233
97,3,171 76
98,3,4032
99,3,85224
100,3,24128
101,3,31-202
102,3,90403
103,3,40136
104,3,13271-130
105,3,6000
106,3,31059
107,3,85259
108,3,350001
109,3,19839
110,3,32610
111,3,5000
112,3,200032
113,3,60286
114,3,310009
115,3,10126
116,3,210000
117,3,210002
118,3,263153
119,2,33000
120,2,250012
121,2,700000
122,2,SE-75185
123,2,94000
124,2,94143
125,2,430030
126,2,400 610
127,2,00-132
128,2,87042
129,2,34010
130,2,10021
131,2,35249
132,2,85258
133,2,300020
134,2,29425
135,2,100050
136,2,H4A 3J1
137,2,48903
138,2,28009
139,2,85234
140,2,9112100
141,2,220-701
142,2,10032
143,2,54000
144,2,546 36
145,2,68198
146,2,06312
147,2,9300
148,2,565-0871
149,2,92093
150,2,021
151,2,80215-901
152,2,77474
153,2,46202
154,2,66160
155,2,14117-13135
156,2,94010
157,2,47011
158,2,33180
159,2,08035
160,2,200127
161,2,31008
162,2,110029
163,2,300162
164,2,06880
165,2,560022
166,2,134-727
167,2,431224
168,2,06591
169,2,90404
170,2,89070
171,2,38043
172,2,48108
173,2,92626
174,2,115682
175,2,30120
176,2,44805
177,2,430081
178,2,28040
179,2,41007
180,2,14263
181,2,200011
182,2,400014
183,2,050000
184,2,463-712
185,2,10410
186,2,951-8510
187,2,59100
188,2,85724
189,2,100020
190,2,10000
191,2,00128
192,2,75013
193,2,35211
194,2,06018
195,2,11407
196,2,5650871
197,2,91942
198,2,60611
199,2,100010
200,2,72076
201,2,443095
202,2,210029
203,2,06351
204,2,92032
205,2,35294-0007
206,2,92697
207,2,41253-190
208,2,21287
209,2,08308
