,level_0,count
0,0,1
1,1185,1
2,1196,1
3,1195,1
4,1194,1
5,1193,1
6,1192,1
7,1191,1
8,1190,1
9,1189,1
10,1188,1
11,1187,1
12,1186,1
13,1184,1
14,1198,1
15,1183,1
16,1182,1
17,1181,1
18,1180,1
19,1179,1
20,1178,1
21,1177,1
22,1176,1
23,1175,1
24,1174,1
25,1173,1
26,1197,1
27,1199,1
28,1171,1
29,1213,1
30,1224,1
31,1223,1
32,1222,1
33,1221,1
34,1220,1
35,1219,1
36,1218,1
37,1217,1
38,1216,1
39,1215,1
40,1214,1
41,1212,1
42,1200,1
43,1211,1
44,1210,1
45,1209,1
46,1208,1
47,1207,1
48,1206,1
49,1205,1
50,1204,1
51,1203,1
52,1202,1
53,1201,1
54,1172,1
55,1170,1
56,1115,1
57,1129,1
58,1140,1
59,1139,1
60,1138,1
61,1137,1
62,1136,1
63,1135,1
64,1134,1
65,1133,1
66,1132,1
67,1131,1
68,1130,1
69,1128,1
70,1142,1
71,1127,1
72,1126,1
73,1125,1
74,1124,1
75,1123,1
76,1122,1
77,1121,1
78,1120,1
79,1119,1
80,1118,1
81,1117,1
82,1141,1
83,1143,1
84,1169,1
85,1157,1
86,1168,1
87,1167,1
88,1166,1
89,1165,1
90,1164,1
91,1163,1
92,1162,1
93,1161,1
94,1160,1
95,1159,1
96,1158,1
97,1156,1
98,1144,1
99,1155,1
100,1154,1
101,1153,1
102,1152,1
103,1151,1
104,1150,1
105,1149,1
106,1148,1
107,1147,1
108,1146,1
109,1145,1
110,1225,1
111,1226,1
112,1227,1
113,1296,1
114,1307,1
115,1306,1
116,1305,1
117,1304,1
118,1303,1
119,1302,1
120,1301,1
121,1300,1
122,1299,1
123,1298,1
124,1297,1
125,1295,1
126,1309,1
127,1294,1
128,1293,1
129,1292,1
130,1291,1
131,1290,1
132,1289,1
133,1288,1
134,1287,1
135,1286,1
136,1285,1
137,1284,1
138,1308,1
139,1310,1
140,1228,1
141,1324,1
142,1335,1
143,1334,1
144,1333,1
145,1332,1
146,1331,1
147,1330,1
148,1329,1
149,1328,1
150,1327,1
151,1326,1
152,1325,1
153,1323,1
154,1311,1
155,1322,1
156,1321,1
157,1320,1
158,1319,1
159,1318,1
160,1317,1
161,1316,1
162,1315,1
163,1314,1
164,1313,1
165,1312,1
166,1283,1
167,1282,1
168,1281,1
169,1241,1
170,1252,1
171,1251,1
172,1250,1
173,1249,1
174,1248,1
175,1247,1
176,1246,1
177,1245,1
178,1244,1
179,1243,1
180,1242,1
181,1240,1
182,1280,1
183,1239,1
184,1238,1
185,1237,1
186,1236,1
187,1235,1
188,1234,1
189,1233,1
190,1232,1
191,1231,1
192,1230,1
193,1229,1
194,1253,1
195,1254,1
196,1255,1
197,1256,1
198,1279,1
199,1278,1
200,1277,1
201,1276,1
202,1275,1
203,1274,1
204,1273,1
205,1272,1
206,1271,1
207,1270,1
208,1269,1
209,1268,1
210,1267,1
211,1266,1
212,1265,1
213,1264,1
214,1263,1
215,1262,1
216,1261,1
217,1260,1
218,1259,1
219,1258,1
220,1257,1
221,1116,1
222,1114,1
223,1337,1
224,962,1
225,973,1
226,972,1
227,971,1
228,970,1
229,969,1
230,968,1
231,967,1
232,966,1
233,965,1
234,964,1
235,963,1
236,961,1
237,975,1
238,960,1
239,959,1
240,958,1
241,957,1
242,956,1
243,955,1
244,954,1
245,953,1
246,952,1
247,951,1
248,950,1
249,974,1
250,976,1
251,948,1
252,990,1
253,1001,1
254,1000,1
255,999,1
256,998,1
257,997,1
258,996,1
259,995,1
260,994,1
261,993,1
262,992,1
